Job Title,URL,What They Do,Types of Work Environments,Education and Training Requirements,Salary,Professional Organization Name,Professional Organization URL,Learn More Text,Learn More URL
Health Information Technician,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/health-information-technician,"Health information management professionals study the principles and practices of acquiring, analyzing, maintaining, releasing, and protecting medical information vital to providing quality patient care. These professionals are linked to physicians, technology designers, and information technology. They play an essential role in bridging patients’ health information and payors, such as insurance companies, and government and regulating agencies, and are a critical component of the electronic health record (EHR) workforce. There are two levels of health information management professionals. Health information technicians (HIT) work in healthcare, however, they do not generally work directly with patients. A health information technician (HIT) assembles patient health information including medical history, symptoms, examination results, diagnostic tests, treatment methods, and all other healthcare provider services. They organize and manage health information data by ensuring its quality, accuracy, accessibility, and security. They may work as medical coders who specialize in coding patient information for reimbursement purposes. They communicate with physicians and other healthcare professionals to clarify diagnoses or to obtain additional information. Entry-level health information technicians usually have an associate degree with a Registered Health Information Technician (RHIT) credential. The health information manager (HIM) has a baccalaureate degree with a Registered Health Information Management (RHIM) credential. The individuals function in management positions, responsible for ensuring the availability, accuracy, and protection of the clinical information that is needed to deliver healthcare services and to make appropriate healthcare related decisions. They also design, implement, and maintain health information technology systems.",,"Associate degree Two-year degree General overview of the profession – technical focus Traditional classroom and distance learning are available Evening programs available Obtain RHIT (Registered Health Information Technician) credential after successfully passing the national exam Requirement of 20 continuing education units every 2 years Bachelor’s Degree Four-year degree Two years of general education courses, entering professional coursework in junior year – management focus Traditional classroom and distance learning are available Some RHIT to RHIA programs are available Obtain RHIA (Registered Health Information Administrator) credential after successfully passing the national exam Requirement of 30 continuing education units every 2 years","According to the Bureau of Labor and Statistics , the median salary for health information technicians is approximately $48,780 per year.",The American Health Information Management Association,http://www.ahima.org/,health information management project manager: Sandy.; Health information technology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/health-information-management-project-manager-sandy; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/health-informtation-technology-affiliated-programs
Medical Coder,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/medical-coder,"Medical coders take a physician's case notes or a patient's medical history and translate the long-form, paragraphs of text into a code of letters and numbers which accurately communicate the diagnoses, procedures, symptoms, allergies, and diseases of a patient in a more condensed form. They also report services performed by a physician or other healthcare professional for reimbursement. However, medical coders do not simply read off the coded designations from a book and translate the text of a patient's file into code, they must also be knowledgeable in areas of anatomy and medical terminology to accurately interpret and code a patient's file. This includes being able to accurately recognize and code the symptoms and effects of various diseases.",Hospitals Private practices Smaller clinics,"Although the only requirements to become a medical coder are the completion of a medical coding course of study and the CPC exam to earn professional certification, some coders also have a bachelor's or master's degree.","According to glassdoor.com, the median salary for medical coders is approximately $55,000 per year.",The American Academy of Professional Coders,http://www.aapc.com/,coding education and quality coordinator: Meghan; Medical billing and coding,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/coding-education-and-quality-coordinator-meghan; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/billing-coding-affiliated-programs
Patient Educator,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/patient-educator,"A patient educator is someone who promotes the health and wellness of patients by providing them with information. By improving the public's knowledge of various health-related issues and by promoting positive habits of healthy living, patient educators help patients improve their attitudes toward medicine and their lifestyles. This can prevent disease, disability, and premature death by encouraging patients to take an active hand in making their lives a healthy one. Patient educators cover topics like exercise, healthy eating habits, sexual health, and healthy sleep practices.",Hospitals Non-profit organizations Schools Private business Private practices The government,A bachelor's degree in health education and promotion is required for most entry-level positions and some employers prefer to hire candidates who are Certified Health Education Specialists (CHES).,"According to salary.com , the median salary for patient educators is approximately $59,974 per year.",The National Commission for Health Education Credentialing,http://www.nchec.org/,,
Cytologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/cytotechnologist,"The prefix ""cyto"" means ""cell."" The use of technology — or more specifically a microscope — to study cells is cytology. As a cytologist, you will prepare and examine body cells under the microscope to detect abnormalities that may be important to the early diagnosis of cancer or other diseases. The field is perhaps best known for the Pap test, an evaluation of cells from the uterine cervix. Cytology techniques can also identify precancerous or cancer cells in virtually any area of the body.",Hospitals Private laboratories Research laboratories,,"According to salary.com , the median salary for cytologists is approximately $87,666 per year.",The American Society for Clinical Pathology,http://www.ascp.org/default.aspx,Cytology Program,https://my.clevelandclinic.org/departments/pathology/medical-professionals/school-cytotechnology
Histotechnologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/histotechnologist,"Histotechnologists prepare slides of sections of body tissue for microscopic examination by pathologists. The prefix ""histo"" means ""tissue"". These professionals perform complex procedures for processing body tissue and must make judgments concerning the quality of results. The process of preparing human tissue specimens includes tissue fixation, dehydration, sectioning, mounting, and special staining. This work is often done while a surgical team awaits a pathologist’s diagnosis. Therefore, the work must be done extremely quickly and accurately. A histotechnician works under the supervision of a histotechnologist.",Hospitals Research laboratories,Histotechnologists typically earn a four-year bachelor's degree and acquire one year of training. While histotechnicians often only earn a two-year associate degree.,"According to salary.com , the median salary for histotechnologists is approximately $66,701 per year.",The National Society for Histotechnology,http://www.nsh.org/,histotechnologist: Linda; Histotechnology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/histotechnologist-linda; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/histotechnology-affiliated-programs
Medical Laboratory Technician and Medical Laboratory Scientist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/medical-lab-technician,"Using sophisticated laboratory equipment, these professionals look for bacteria, parasites, and other microorganisms. They match blood for transfusions, analyze the chemical content of body fluids, and test for drug levels in the blood (to show how a patient is responding to treatment). They also count cells and look for abnormal cells in blood and body fluids. They use microscopes, cell counters, and other sophisticated laboratory equipment. Automated equipment and computerized analyzers fill the clinical laboratory area. The laboratory findings are then conveyed to the physician. Medical laboratory technicians usually work under the supervision of medical laboratory scientists, performing more basic tests and laboratory procedures. If you enjoy working behind the scenes with minimal to no patient contact, then a medical laboratory technician (MLT) or medical laboratory scientist (MLS) position may be the one for you.",Hospitals Medical laboratories Reference laboratories Doctor's offices,"Medical laboratory technicians typically have a two-year associate degree, while medical laboratory scientists have a four-year bachelor's degree.","According to glassdoor.com , the median salary for medical laboratory scientists is approximately $72,000 per year.",The American Society for Clinical Laboratory Science,https://ascls.org,medical laboratory scientist: Andrew.; Medical laboratory technology; Medical Laboratory Science Program,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/medical-lab-tech-brian; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/medical-laboratory-affiliated-programs; https://my.clevelandclinic.org/departments/pathology/medical-professionals/school-medical-technology
Pathology Assistant,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/pathology-assistant,"Another career path you may investigate in the area of clinical laboratory science is that of the pathologist assistant. A pathologist assistant is an intensively trained allied health professional who, under the direction and supervision of a pathologist, provides anatomic pathology services. This includes the preparation, description, and dissection of human tissue surgical specimens and the preparation of human postmortem examinations.",,,"According to salary.com , the median salary for pathologist assistants is approximately $94,182 per year.",,,Pathologist assistant,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/pathology-assistant-affiliated-programs
Phlebotomist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/phlebotomist,"The phlebotomist is an integral member of the medical laboratory team whose primary function is the collection of blood samples from patients. The phlebotomist also facilitates the collection and transportation of other laboratory specimens (e.g. urine). Very often the patient’s only contact with the medical laboratory is the phlebotomist. For many patients, the most difficult part of a doctor’s office visit is having their blood drawn. Many patients, from children and teens to adults, often find needles and the idea of having their blood drawn frightening. It takes a skilled phlebotomist to put the patient at ease while obtaining all the required specimens. The need to assure quality and patient safety requires strict standards of practice and professional behavior.",Hospitals Medical laboratories,"High school diploma or G.E.D. with additional training. Phlebotomy programs are available at several community colleges, adult career centers, and private proprietary schools. The training courses vary in length and usually lead to a certificate of completion.","According to the Bureau of Labor and Statistics , the median salary for phlebotomists is approximately $43,130 per year.",,,phlebotomist: Maxine; Phlebotomy; Phlebotomy Program,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/phlebotomist-maxine; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/phlebotomy-affiliated-programs; https://my.clevelandclinic.org/departments/pathology/medical-professionals/school-phlebotomy
Medical Assistant,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/medical-assistants,"Medical assistants have various administrative and clinical duties. These may include taking medical histories, explaining procedures to patients, collecting and preparing specimens for the lab or performing basic laboratory tests themselves, administering or instructing patients on the proper uses of medications, drawing blood, taking electrocardiograms, removing sutures, and changing dressings.",Hospitals Nursing homes and assisted living facilities Ambulatory care centers Urgent care facilities Clinics,"Some medical assistants receive on the job training; however, many have shown their competency by becoming certified/registered or have attended a formal training program resulting in a certificate/diploma or an associate degree.","According to the Bureau of Labor and Statistics , the median salary for medical assistants is approximately $42,000 per year.",The American Association of Medical Assistants,http://www.aama-ntl.org/,medical assistant: Teresa; Medical assisting,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/medical-assistant-teresa; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/medical-assisting-affiliated-programs
Medical Secretary,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/medical-secretary,"Medical secretaries handle many of the administrative duties that aid the daily function of a hospital. The administrative duties might include scheduling appointments, greeting patients, filing and updating medical records, answering phone calls, responding to emails, coding and completing insurance forms, arranging for admissions and lab services, handling correspondence, billing, and bookkeeping.",Hospitals Nursing homes and assisted living facilities Ambulatory care centers Urgent care facilities Clinics,"Medical secretaries typically have a diploma/certificate from a training program or, in some cases, an associate degree from a two-year academic program.","According to the Bureau of Labor and Statistics , the median salary for a medical secretary is approximately $43,380 per year.",,,Medical secretary,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/medical-secretary-affiliated-programs
Ophthalmic Assistant,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/ophthalmic-assistant,"Ophthalmic assistants provide vision care under the supervision of a licensed ophthalmologist. They assist with taking patient histories, performing diagnostic tests and procedures, patient scheduling, and exam room preparation.",Medical equipment and supplies manufacturing laboratories Health and personal care stores Ophthalmologists' and optometrists' offices,,"According to the Bureau of Labor Statistics , the median salary for ophthalmic assistants is approximately $44,290 per year.",The Joint Commission on Allied Health Personnel in Ophthalmology,http://www.jcahpo.org/,ophthalmic technician: Margie; Ophthalmic assistant,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/ophthalmic-technician-margie; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/ophthalmic-assistant-afilliated-programs
Physician Assistant,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/physician-assistant,"Physician assistants are medical professionals who work with doctors to perform physical examinations, diagnose and treat illnesses, prescribe medications, order and analyze lab tests, perform procedures, assist in surgery, and educate and counsel patients. The education of a physician assistant is very similar to that of medical students. As a result, physician assistants do their clinical fieldwork in a variety of different areas and are found in many different and diverse departments throughout a hospital.",Hospitals Nursing homes,"The average length of a physician assistant program is about two years. This includes a rigorous course of classroom-based study, which covers many different scientific disciplines. Physician assistants must also complete 2,000 hours of clinical rotations in various settings such as family medicine, gynecology, surgery, emergency medicine, and psychiatry. Additionally, physician assistants must complete 100 hours of continuing education every two years.","According to the Bureau of Labor and Statistics , the median salary for physician assistants is approximately $130,020 per year.",,,Physician assistant; Physician Assistant (PA) Services,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/physician-assistant-affiliated-programs; https://my.clevelandclinic.org/professionals/provider-recruitment/physician-assistants
Electrocardiogram (EKG) Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/electrocardiogram-ekg-technician,"An electrocardiogram (EKG) technician performs non-invasive tests to monitor a patient's heart rate and rhythm. These tests include EKG tests, stress tests, or Holter monitoring tests, depending on the technician's level of training. EKG tests use electrodes placed on the patient's chest to measure the electrical activity in his or her heart.",Hospitals (usually in the cardiovascular department),"It is possible to gain on the job training as an EKG technician, but most employers are more likely to hire someone who has completed a training program at a vocational school, technical school, or community college.","According to Indeed.com , the median salary for electrocardiogram (EKG) technicians is approximately $23.01 per hour.",,,ECG/EKG technician: Marion,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/ecg-ekg-technician-marion
Electroencephalogram (EEG) Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/electroencephalogram-eeg-technologist,,Medical/Surgical Inpatient Units Intensive Care Units Epilepsy Monitoring Units (Pediatric and Adult) Outpatient EEG Labs Remote Monitoring,"Minimum education requirements usually include a high school diploma. Additional education and training opportunities for EEG Technologists may include on the job training, attending a formal CAAHEP-accredited Neurodiagnostic Program, or participation and completion of an ABRET Recognized EEG Program such as the EEG Technologist Training Program offered by the Cleveland Clinic School of Epilepsy Technology. To become a Registered EEG Technologist, you must take and pass the ABRET EEG","The starting salary for a Non-Registered EEG Technologist can be expected to be around $20.00 per hour or above. Salary ranges can vary widely depending on many important factors, including education, certifications, additional skills, and the number of years you have spent in your profession.",The American Board of Registered Electroneurodiagnostic Technologists,https://abret.org/,School of Epilepsy Technology; EEG Apprenticeship Opportunities,https://my.clevelandclinic.org/departments/neurological/medical-professionals/epilepsy-technology; https://jobs.clevelandclinic.org/apprenticeships/
Electroneurodiagnostic (END) Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/electroneurodiagnostic-end-technologist,"Electroneurodiagnostic (END) technicians use various machines to monitor a patient's nervous system. They test a patient's response to various stimuli and monitor brain activity using evoked potential (EP) Machinery, electroencephalographs (EEG), and other instruments. They also use various tests including nerve condition studies (NCS), electromyography (EMG), and inoperative monitoring (IOM).",Hospitals Epilepsy monitoring units Sleep disorder centers Research institutions,END techs usually have a high school diploma or a two-year associate degree in the physical or biological sciences. There is also a two-part (oral and written) certification exam administered by the American Board of Electroenphalographic and Evoked Potential Technologists.,"According to salary.com , the median salary for electroneurodiagnostic (END) technicians is approximately $27 per hour.",The Neurodiagnostic Society,http://www.aset.org/,electroneurodiagnostics technician: Petra; Electroneurodiagnostics (END) technology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/electroneurodiagnostics-technician-petra; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/electroneurodiagnostics-end-affiliated-programs
Polysomnographer,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/polysomnographer,"A polysomnographer is an allied health professional who performs overnight sleep assessments used to diagnose various sleep disorders. In the evening the patient will arrive at a sleep laboratory in a hospital, medical facility, or hotel. Increasingly, physicians are prescribing at-home sleep tests to ensure the patient's comfort and to reduce cost. The polysomnographer will attach various electrodes used to record the patient's brain activity and will then monitor the patient throughout the night.",Hospitals Medical facilities Hotels Patients' homes,"Training for polysomnographers can be acquired either on the job or through formal education. The formal education path usually results in a certificate or diploma upon completion or (in some cases, depending on the program) an associate degree in polysomnographic technology. After a certain amount of practical work on the job, polysomnographers can become registered with the Board of Registered Polysomnographic Technologists (BRPT).","According to salary.com , the median salary for polysomnographers is approximately $63,927 per year.",The Board of Registered Polysomnographic Technologists,http://www.brpt.org/,Polysomnography; Accredited Sleep Technologist Education Program (ASTEP),https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/polysomnography-affiliated-programs; https://my.clevelandclinic.org/departments/neurological/medical-professionals/astep
Dietetic Technician,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/dietetic-technician,"Dietetic technicians work with registered dietitians to plan menus and prepare food for patients and clients with specific dietary restrictions. Dietetic technicians may observe a patient with dietary issues, analyze menus, standardize recipes, test emerging food products, and provide dietitians with assistance and support to benefit their patients.",Hospitals Clinics Nursing homes and retirement centers Hospices Research facilities Schools Health clubs Food vending and distributing companies,"Dietetic technicians complete a two-year associate degree. This includes 450 hours of practical field experience at community programs, healthcare facilities, and food service facilities. There is also a national certification examination administered by the Commission on Dietetic Registration and a series of continuing professional education requirements to maintain that registration.","According to the Bureau of Labor and Statistics , the median salary for dietetic technicians is approximately $38,440 per year.",The Academy of Nutrition and Dietetics,http://www.eatright.org/,registered dietitian: Lindsay; Dietetic technology; Dietetic Internship Program,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/dietitian-lindsay; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/dietetic-technology-affiliated-programs; https://my.clevelandclinic.org/departments/digestive/medical-professionals/education/dietetic-internship
Licensed Dietitian,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/licensed-dietitian,"A licensed dietitian is someone who works with patients to assess their weight, height, and eating habits to come up with the healthiest nutrition plan for their body. Dietitians use their knowledge of biochemistry, physiology, food management, and behavioral science to assess food and nutrition on both an individual and societal level. They come up with individualized meal plans for patients that meet certain nutritional requirements that the patient is missing, they provide health and nutrition education in community settings, and they work for various food service organizations (like those that provide food for schools, hospitals, and business cafeterias) to ensure certain quality and nutritional standards are met.","Hospitals Neonatal intensive care units Nursing homes Private practices Community organizations promoting health and wellness Food services organizations Research facilities at universities, government divisions, food and beverage companies, and pharmaceutical companies (here they study the effects of food products in existence and development)","Dietitians working in Ohio must be licensed by the state. The minimum education requirements for licensure in Ohio are a bachelor's degree in dietetics or a closely related field (such as nutrition) and 900 hours of supervised field experience. With this experience, a dietitian will be eligible to hold a limited permit. Once the student or candidate has passed the state-approved exam, then they will be awarded a full license.","According to salary.com , the median salary for licensed dietitians is approximately $69,725 per year.",The Ohio Board of Dietetics,http://www.med.ohio.gov/The-Board/Committees-and-Councils/Dietetics-Advisory-Council,registered dietitian: Lindsay; Dietetic technology; Dietetic Internship Program,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/dietitian-lindsay; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/dietetic-technology-affiliated-programs; https://my.clevelandclinic.org/departments/digestive/medical-professionals/education/dietetic-internship
Pharmacy Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/pharmacy-technician,"Pharmacy technicians work under the direct supervision of a licensed pharmacist in preparing medications to dispense to patients. To do this, pharmacy technicians need to demonstrate proper pharmaceutical techniques and possess the interpersonal skills necessary to communicate effectively with patients as well as the pharmacist. Pharmacy technicians need to learn medication names, actions, uses, and doses. They need to have a working knowledge of medical and pharmaceutical terminology, pharmaceutical calculations, data entry and recordkeeping, and pharmacy law and ethics.",Retail Hospitals Long-term care facilities,"Pharmacy technicians earn a diploma, certificate, or associate degree from an accredited program. At this time, the national examination is separate and voluntary. However, employers favor applicants who have had formal training and have passed the national examination.","According to the Bureau of Labor and Statistics , the median salary for pharmacy technicians is approximately $43,330 per year.",The National Pharmacy Technician Association,http://www.pharmacytechnician.org/,pharmacy technician: Denise; Pharmacy technology; School of Pharmacy Technology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/pharmacy-technician-denise; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/pharmacy-technician-affiliated-programs; https://my.clevelandclinic.org/departments/pharmacy/education/school-pharmacy-technology
Pharmacist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/pharmacist,"Pharmacists are responsible for knowing the purposes, effects, and side effects of various drugs. They should be able to tell from looking at a patient's profile whether or not it is safe to combine new medications with the medications that the patient is already taking. Modern drugs have the potential to significantly improve patient's quality of life, however, they must be taken correctly, with the proper frequency, and in the appropriate dosage.",Community pharmacies Mail-order pharmacies Specialty pharmacies Ambulatory care Outpatient clinics Compounding pharmacies Hospital pharmacies Emergency Departments Long-term care facilities Government healthcare systems (Veteran Affairs) Home Care/Home Infusion Academia Drug information centers Poison control centers Informatics & pharmacy technology Managed care settings Pharmacy benefit managers Nuclear pharmacies Pharmaceutical companies,"The education requirements for an entry-level position as a pharmacist may vary depending on the work environment. At a minimum, pharmacists must complete a four-year Doctor of Pharmacy degree to be licensed. This happens after typically taking 2-4 years of prerequisite courses, which are often completed as an organized pre-pharmacy program, and some programs also award a bachelor's degree in Pharmaceutical Sciences. Jobs that have specialized settings, patient populations, or duties, including many hospital pharmacist positions, also require the pharmacist to complete at least one to two years of post-graduate residency training before applying. Some pharmacy school graduates also continue with post-graduate residency training before working in administrative roles, community practice, ambulatory care, and academia. Leadership roles and advanced positions in a pharmacy practice typically prefer pharmacists who also have an advanced degree (e.g. MS, MBA, etc.) or similar work experience.","According to the Bureau of Labor and Statistics , the median salary for pharmacists is approximately $136,030 per year.",,,pharmacist: Molly; Pharmacy Residency,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/pharmacist-molly; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/pharmacy-residency-affiliated-programs
Community Health Worker,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/community-health-worker,"Community health workers (CHWs) are frontline public health workers who develop a relationship with the communities they serve, allowing them to function as a connector between community members and health or social services. CHWs facilitate access to resources and improve the cultural competence of services provided. They work alongside many individual and community developers to deliver and promote community empowerment and social justice. CHWs work in a variety of geographic and cultural settings. Many CHWs have similar or shared life experiences with the communities they serve.",Community health centers Faith-based organizations Homes Hospitals Non-profit organizations Private clinics Public health clinics Public housing organizations Sponsoring agencies,,"According to the Bureau of Labor and Statistics , the median salary for community health workers is approximately $62,860 per year.",,,Community health worker,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/community-health-worker-affiliated-programs
Medical Dosimetrist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/medical-dosimetrist,"Using CT scans and sometimes MRI and PET scanners, medical dosimetrists design an individualized plan of treatment for cancer patients who have been prescribed radiation therapy by their oncologist. They use computer sciences and mathematics to calculate an appropriate dosage and position for the treatment and communicate with the patient's oncologist to have the plan of treatment approved. To prevent the surrounding tissue from experiencing the same cellular death as the cancerous cells, the radiation therapist positions the patient in the most advantageous way possible, and multiple beams of radiation are focused on the patient from different angles. The beams intersect on the cancerous cells, allowing for a higher concentration of radiation right where it is needed.",Hospitals Research laboratories Applications and sales departments for radiological oncology vendors,"Most formal education programs that train medical dosimetrists require applicants to be registered radiation therapists or to have a bachelor's degree with a physical science component. Most programs grant dosimetrists a certificate, however, some programs offer a Bachelor of Science or Master of Science with a focus in dosimetry. In some situations, on the job training may be possible for radiation therapists looking to become medical dosimetrists.","According to salary.com , the median salary for medical dosimetrists is approximately $132,803 per year.",The American Association of Medical Dosimetrists,http://www.medicaldosimetry.org/,radiation therapist; Radiation therapy; Medical Dosimetry Program,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/radiation-therapist; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/radiation-therapy-affiliated-programs; https://my.clevelandclinic.org/departments/cancer/medical-professionals/radiation-oncology-education/medical-dosimetry-program
Radiation Therapist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/radiation-therapist,"Radiation therapists implement plans of treatment prescribed by an oncologist and created by a medical dosimetrist. Radiation therapists use accelerators and ionizing-radiation producing equipment to treat diseases, primarily different kinds of cancer. The radiation is administered in therapeutic doses and can send certain localized forms of cancer into remission. It can also be used to prevent the recurrence of particularly malignant forms of cancer after they have been removed during surgery.",Hospitals Outpatient care facilities Laboratories,"Radiation therapists hold at least an associate degree and have completed a clinical field requirement, although some have a bachelor's degree as well. The American Registry of Radiologic Technologists also certifies radiation therapists and requires them to recertify and engage in continuing education every two years after their initial certification.","According to the Bureau of Labor and Statistics , the median salary for radiation therapists is approximately $98,300 per year.",The American Registry of Radiologic Technologists,http://www.arrt.org/,medical dosimetry; Radiation therapy; Medical Dosimetry Program,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/medical-dosimetrist; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/radiation-therapy-affiliated-programs; https://my.clevelandclinic.org/departments/cancer/medical-professionals/radiation-oncology-education/medical-dosimetry-program
Athletic Trainer,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/athletic-trainer,"Athletic trainers are educated as medical professionals (which differentiates them from fitness or personal trainers) and work with impairment, functional limitations, and disabilities. They work with emergency, acute, and chronic cases and are not only involved with diagnosing and aiding patients but also working preventatively to ensure the patient's future health and success. They learn risk management and injury prevention, the pathology and acute care of injuries and illnesses, nutrition, rehabilitative practices, and more.","Hospitals including emergency rooms, urgent care, and ambulatory care centers. Clinics focusing on sports health, cardiac rehabilitation, and physical therapy. Sports leagues rang from youth  through high school and college to professional and Olympic sports.","Athletic trainers attend professional education programs accredited by the Commission on Accreditation of Athletic Training Education. This education is a combination of clinical fieldwork and classroom-based learning. For more detailed information on the education required to become an athletic trainer, please refer to the education overview published by the National Athletic Trainers' Association, which can be found here .","According to indeed.com , the median salary for an athletic trainer is approximately $55,036 a year.",The National Athletic Trainers Association,http://www.nata.org/athletic-training,athletic trainer: Amber; Athletic training,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/athletic-trainer-amber; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/athletic-training-affiliated-programs
Audiologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/audiologist,"Audiologists are non-medical providers of both hearing and balance (i.e. vestibular) related disorders. Audiologists provide patients with a comprehensive evaluation of hearing loss and vestibular dysfunction. They provide (re)habilitative clinical services including auditory therapy and aspects of vestibular rehabilitation. This often includes evaluating the extent of hearing or vestibular loss and formulating a plan to improve their quality of life despite these difficulties. Audiologists work with technology for both assessment and rehabilitation services, including hearing amplification needs. They create custom-made ear molds, hearing protection, and swim plugs. Audiologists also fit, service, and repair hearing aids as well as activate and program cochlear implants once a surgeon has implanted the permanent portion of the device.","Hospitals Private Practices Ear, Nose, and Throat Clinics Industry School-based Research and Development Academic (University)","Audiologists must earn the designation Doctor of Audiology (Au. D.) by obtaining a graduate clinical doctorate in the field. The Au. D can be completed in three to four years if the candidate has a background in speech-language pathology and audiology. Students are also encouraged to have a strong science undergraduate background. Although in some cases a second bachelor's degree may be required for those looking to enter the field without previous experiences, some programs offer a five-year program for those without requisite.","According to salary.com , the median salary for an audiologist is approximately $91,505 per year.",The American Academy of Audiology,http://www.audiology.org/,audiologist: Kathleen; Audiology; audiology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/audiologist-kathleen; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/audiology-affiliated-programs; https://my.clevelandclinic.org/-/scassets/files/org/health-sciences/audiology-document-for-chpe-webpages.pdf?la=en
